id,brand,model,body_type,generation,year_from,year_to,category,part_code,part_name_en,part_name_az,price_min_azn,price_avg_azn,price_max_azn,price_type
13,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,front_left_fender,Front Left Fender,Ön sol qanad,150,280,550,estimate
14,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,front_right_fender,Front Right Fender,Ön sağ qanad,150,280,550,estimate
15,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,rear_left_quarter_panel,Rear Left Quarter Panel,Arxa sol yan panel (qanad),300,550,1100,estimate
16,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,rear_right_quarter_panel,Rear Right Quarter Panel,Arxa sağ yan panel (qanad),300,550,1100,estimate
17,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,front_left_door,Front Left Door,Ön sol qapı,350,650,1275,estimate
18,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,front_right_door,Front Right Door,Ön sağ qapı,350,650,1275,estimate
19,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,rear_left_door,Rear Left Door,Arxa sol qapı,330,600,1200,estimate
20,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,rear_right_door,Rear Right Door,Arxa sağ qapı,330,600,1200,estimate
21,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Side Body,rocker_panel,Rocker Panel / Side Skirt,Yan ətək (astana paneli),140,260,500,estimate
22,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,front_windshield,Front Windshield,Ön şüşə,230,420,850,estimate
23,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,rear_windshield,Rear Windshield,Arxa şüşə,180,320,650,estimate
24,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,front_left_door_window,Front Left Door Window,Ön sol qapı şüşəsi,80,150,300,estimate
25,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,front_right_door_window,Front Right Door Window,Ön sağ qapı şüşəsi,80,150,300,estimate
26,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,rear_left_door_window,Rear Left Door Window,Arxa sol qapı şüşəsi,75,140,280,estimate
27,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,rear_right_door_window,Rear Right Door Window,Arxa sağ qapı şüşəsi,75,140,280,estimate
28,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Glass,rear_quarter_window,Rear Quarter Window,Arxa yan (üçbucaq) şüşə,70,130,260,estimate
29,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Mirrors,left_side_mirror_assembly,Left Side Mirror Assembly,Sol yan güzgü,210,380,775,estimate
30,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Mirrors,right_side_mirror_assembly,Right Side Mirror Assembly,Sağ yan güzgü,210,380,775,estimate
31,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Mirrors,mirror_cover,Mirror Cover,Güzgü qapağı,45,85,170,estimate
32,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Mirrors,mirror_glass,Mirror Glass,Güzgü şüşəsi,35,65,130,estimate
33,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Roof,roof_panel,Roof Panel,Tavan paneli,410,750,1500,estimate
34,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,front_left_wheel,Front Left Wheel (Rim),Ön sol disk,180,320,650,estimate
35,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,front_right_wheel,Front Right Wheel (Rim),Ön sağ disk,180,320,650,estimate
36,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,rear_left_wheel,Rear Left Wheel (Rim),Arxa sol disk,180,320,650,estimate
37,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,rear_right_wheel,Rear Right Wheel (Rim),Arxa sağ disk,180,320,650,estimate
38,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,front_left_tire,Front Left Tire,Ön sol şin,140,260,500,estimate
39,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,front_right_tire,Front Right Tire,Ön sağ şin,140,260,500,estimate
40,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,rear_left_tire,Rear Left Tire,Arxa sol şin,140,260,500,estimate
41,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Wheels,rear_right_tire,Rear Right Tire,Arxa sağ şin,140,260,500,estimate
42,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Exterior Trim,door_handle,Door Handle,Qapı tutacağı,55,95,190,estimate
43,Mercedes-Benz,E-Class,Sedan,W212 (facelift),2013,2015,Exterior Trim,fuel_filler_door,Fuel Filler Door,Yanacaq çəninin qapağı,60,110,210,estimate
44,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,front_bumper_cover,Front Bumper Cover,Ön bamper örtüyü,300,550,1100,estimate
45,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,front_grille,Front Grille,Ön radiator barmaqlığı,120,220,450,estimate
46,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,hood,Hood (Bonnet),Kapot,330,600,1200,estimate
47,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,left_headlight,Left Headlight,Sol ön fara,440,800,1600,estimate
48,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,right_headlight,Right Headlight,Sağ ön fara,440,800,1600,estimate
49,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,left_fog_light,Left Fog Light,Sol duman farası,60,110,220,estimate
50,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Front,right_fog_light,Right Fog Light,Sağ duman farası,60,110,220,estimate
51,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Rear,rear_bumper_cover,Rear Bumper Cover,Arxa bamper örtüyü,320,575,1150,estimate
52,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Rear,trunk_lid,Trunk Lid,Baqaj qapağı (Sedan),300,550,1100,estimate
53,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Rear,left_taillight,Left Taillight,Sol arxa fara (stop),180,320,650,estimate
54,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Rear,right_taillight,Right Taillight,Sağ arxa fara (stop),180,320,650,estimate
55,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Rear,rear_spoiler,Rear Spoiler,Arxa spoyler,120,220,450,estimate
56,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,front_left_fender,Front Left Fender,Ön sol qanad,180,320,650,estimate
57,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,front_right_fender,Front Right Fender,Ön sağ qanad,180,320,650,estimate
58,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,rear_left_quarter_panel,Rear Left Quarter Panel,Arxa sol yan panel (qanad),360,650,1300,estimate
59,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,rear_right_quarter_panel,Rear Right Quarter Panel,Arxa sağ yan panel (qanad),360,650,1300,estimate
60,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,front_left_door,Front Left Door,Ön sol qapı,410,750,1500,estimate
61,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,front_right_door,Front Right Door,Ön sağ qapı,410,750,1500,estimate
62,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,rear_left_door,Rear Left Door,Arxa sol qapı,390,700,1400,estimate
63,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,rear_right_door,Rear Right Door,Arxa sağ qapı,390,700,1400,estimate
64,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Side Body,rocker_panel,Rocker Panel / Side Skirt,Yan ətək (astana paneli),160,300,600,estimate
65,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,front_windshield,Front Windshield,Ön şüşə,280,500,1000,estimate
66,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,rear_windshield,Rear Windshield,Arxa şüşə,210,380,750,estimate
67,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,front_left_door_window,Front Left Door Window,Ön sol qapı şüşəsi,95,180,350,estimate
68,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,front_right_door_window,Front Right Door Window,Ön sağ qapı şüşəsi,95,180,350,estimate
69,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,rear_left_door_window,Rear Left Door Window,Arxa sol qapı şüşəsi,90,160,320,estimate
70,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,rear_right_door_window,Rear Right Door Window,Arxa sağ qapı şüşəsi,90,160,320,estimate
71,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Glass,rear_quarter_window,Rear Quarter Window,Arxa yan (üçbucaq) şüşə,80,150,300,estimate
72,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Mirrors,left_side_mirror_assembly,Left Side Mirror Assembly,Sol yan güzgü,250,450,900,estimate
73,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Mirrors,right_side_mirror_assembly,Right Side Mirror Assembly,Sağ yan güzgü,250,450,900,estimate
74,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Mirrors,mirror_cover,Mirror Cover,Güzgü qapağı,55,100,200,estimate
75,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Mirrors,mirror_glass,Mirror Glass,Güzgü şüşəsi,40,75,150,estimate
76,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Roof,roof_panel,Roof Panel,Tavan paneli,480,875,1750,estimate
77,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,front_left_wheel,Front Left Wheel (Rim),Ön sol disk,210,380,750,estimate
78,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,front_right_wheel,Front Right Wheel (Rim),Ön sağ disk,210,380,750,estimate
79,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,rear_left_wheel,Rear Left Wheel (Rim),Arxa sol disk,210,380,750,estimate
80,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,rear_right_wheel,Rear Right Wheel (Rim),Arxa sağ disk,210,380,750,estimate
81,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,front_left_tire,Front Left Tire,Ön sol şin,160,300,600,estimate
82,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,front_right_tire,Front Right Tire,Ön sağ şin,160,300,600,estimate
83,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,rear_left_tire,Rear Left Tire,Arxa sol şin,160,300,600,estimate
84,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Wheels,rear_right_tire,Rear Right Tire,Arxa sağ şin,160,300,600,estimate
85,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Exterior Trim,door_handle,Door Handle,Qapı tutacağı,60,110,220,estimate
86,Mercedes-Benz,E-Class,Sedan,W213 (pre-facelift),2016,2020,Exterior Trim,fuel_filler_door,Fuel Filler Door,Yanacaq çəninin qapağı,70,120,250,estimate
87,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,front_bumper_cover,Front Bumper Cover,Ön bamper örtüyü,380,700,1375,estimate
88,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,front_grille,Front Grille,Ön radiator barmaqlığı,150,280,550,estimate
89,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,hood,Hood (Bonnet),Kapot,410,750,1500,estimate
90,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,left_headlight,Left Headlight,Sol ön fara,550,1000,2000,estimate
91,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,right_headlight,Right Headlight,Sağ ön fara,550,1000,2000,estimate
92,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,left_fog_light,Left Fog Light,Sol duman farası,75,140,280,estimate
93,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Front,right_fog_light,Right Fog Light,Sağ duman farası,75,140,280,estimate
94,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Rear,rear_bumper_cover,Rear Bumper Cover,Arxa bamper örtüyü,400,725,1450,estimate
95,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Rear,trunk_lid,Trunk Lid,Baqaj qapağı (Sedan),380,700,1375,estimate
96,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Rear,left_taillight,Left Taillight,Sol arxa fara (stop),220,410,800,estimate
97,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Rear,right_taillight,Right Taillight,Sağ arxa fara (stop),220,410,800,estimate
98,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Rear,rear_spoiler,Rear Spoiler,Arxa spoyler,150,280,550,estimate
99,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,front_left_fender,Front Left Fender,Ön sol qanad,220,410,800,estimate
100,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,front_right_fender,Front Right Fender,Ön sağ qanad,220,410,800,estimate
101,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,rear_left_quarter_panel,Rear Left Quarter Panel,Arxa sol yan panel (qanad),450,800,1625,estimate
102,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,rear_right_quarter_panel,Rear Right Quarter Panel,Arxa sağ yan panel (qanad),450,800,1625,estimate
103,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,front_left_door,Front Left Door,Ön sol qapı,525,950,1875,estimate
104,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,front_right_door,Front Right Door,Ön sağ qapı,525,950,1875,estimate
105,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,rear_left_door,Rear Left Door,Arxa sol qapı,480,875,1750,estimate
106,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,rear_right_door,Rear Right Door,Arxa sağ qapı,480,875,1750,estimate
107,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Side Body,rocker_panel,Rocker Panel / Side Skirt,Yan ətək (astana paneli),210,380,750,estimate
108,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,front_windshield,Front Windshield,Ön şüşə,340,625,1250,estimate
109,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,rear_windshield,Rear Windshield,Arxa şüşə,260,470,950,estimate
110,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,front_left_door_window,Front Left Door Window,Ön sol qapı şüşəsi,120,220,440,estimate
111,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,front_right_door_window,Front Right Door Window,Ön sağ qapı şüşəsi,120,220,440,estimate
112,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,rear_left_door_window,Rear Left Door Window,Arxa sol qapı şüşəsi,110,200,410,estimate
113,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,rear_right_door_window,Rear Right Door Window,Arxa sağ qapı şüşəsi,110,200,410,estimate
114,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Glass,rear_quarter_window,Rear Quarter Window,Arxa yan (üçbucaq) şüşə,100,190,380,estimate
115,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Mirrors,left_side_mirror_assembly,Left Side Mirror Assembly,Sol yan güzgü,310,550,1125,estimate
116,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Mirrors,right_side_mirror_assembly,Right Side Mirror Assembly,Sağ yan güzgü,310,550,1125,estimate
117,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Mirrors,mirror_cover,Mirror Cover,Güzgü qapağı,70,120,250,estimate
118,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Mirrors,mirror_glass,Mirror Glass,Güzgü şüşəsi,50,95,190,estimate
119,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Roof,roof_panel,Roof Panel,Tavan paneli,600,1100,2200,estimate
120,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,front_left_wheel,Front Left Wheel (Rim),Ön sol disk,260,470,950,estimate
121,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,front_right_wheel,Front Right Wheel (Rim),Ön sağ disk,260,470,950,estimate
122,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,rear_left_wheel,Rear Left Wheel (Rim),Arxa sol disk,260,470,950,estimate
123,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,rear_right_wheel,Rear Right Wheel (Rim),Arxa sağ disk,260,470,950,estimate
124,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,front_left_tire,Front Left Tire,Ön sol şin,210,380,750,estimate
125,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,front_right_tire,Front Right Tire,Ön sağ şin,210,380,750,estimate
126,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,rear_left_tire,Rear Left Tire,Arxa sol şin,210,380,750,estimate
127,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Wheels,rear_right_tire,Rear Right Tire,Arxa sağ şin,210,380,750,estimate
128,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Exterior Trim,door_handle,Door Handle,Qapı tutacağı,75,140,280,estimate
129,Mercedes-Benz,E-Class,Sedan,W213 (facelift),2021,2024,Exterior Trim,fuel_filler_door,Fuel Filler Door,Yanacaq çəninin qapağı,85,160,310,estimate
130,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,front_bumper_cover,Front Bumper Cover,Ön bamper örtüyü,450,825,1650,estimate
131,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,front_grille,Front Grille,Ön radiator barmaqlığı,190,340,675,estimate
132,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,hood,Hood (Bonnet),Kapot,500,900,1800,estimate
133,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,left_headlight,Left Headlight,Sol ön fara,650,1200,2400,estimate
134,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,right_headlight,Right Headlight,Sağ ön fara,650,1200,2400,estimate
135,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,left_fog_light,Left Fog Light,Sol duman farası,95,170,340,estimate
136,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Front,right_fog_light,Right Fog Light,Sağ duman farası,95,170,340,estimate
137,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Rear,rear_bumper_cover,Rear Bumper Cover,Arxa bamper örtüyü,470,850,1725,estimate
138,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Rear,trunk_lid,Trunk Lid,Baqaj qapağı (Sedan),450,825,1650,estimate
139,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Rear,left_taillight,Left Taillight,Sol arxa fara (stop),270,490,975,estimate
140,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Rear,right_taillight,Right Taillight,Sağ arxa fara (stop),270,490,975,estimate
141,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Rear,rear_spoiler,Rear Spoiler,Arxa spoyler,190,340,675,estimate
142,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,front_left_fender,Front Left Fender,Ön sol qanad,270,490,975,estimate
143,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,front_right_fender,Front Right Fender,Ön sağ qanad,270,490,975,estimate
144,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,rear_left_quarter_panel,Rear Left Quarter Panel,Arxa sol yan panel (qanad),525,975,1950,estimate
145,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,rear_right_quarter_panel,Rear Right Quarter Panel,Arxa sağ yan panel (qanad),525,975,1950,estimate
146,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,front_left_door,Front Left Door,Ön sol qapı,625,1125,2250,estimate
147,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,front_right_door,Front Right Door,Ön sağ qapı,625,1125,2250,estimate
148,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,rear_left_door,Rear Left Door,Arxa sol qapı,575,1050,2100,estimate
149,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,rear_right_door,Rear Right Door,Arxa sağ qapı,575,1050,2100,estimate
150,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Side Body,rocker_panel,Rocker Panel / Side Skirt,Yan ətək (astana paneli),250,450,900,estimate
151,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,front_windshield,Front Windshield,Ön şüşə,410,750,1500,estimate
152,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,rear_windshield,Rear Windshield,Arxa şüşə,310,550,1125,estimate
153,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,front_left_door_window,Front Left Door Window,Ön sol qapı şüşəsi,140,260,525,estimate
154,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,front_right_door_window,Front Right Door Window,Ön sağ qapı şüşəsi,140,260,525,estimate
155,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,rear_left_door_window,Rear Left Door Window,Arxa sol qapı şüşəsi,130,240,490,estimate
156,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,rear_right_door_window,Rear Right Door Window,Arxa sağ qapı şüşəsi,130,240,490,estimate
157,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Glass,rear_quarter_window,Rear Quarter Window,Arxa yan (üçbucaq) şüşə,120,220,450,estimate
158,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Mirrors,left_side_mirror_assembly,Left Side Mirror Assembly,Sol yan güzgü,370,675,1350,estimate
159,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Mirrors,right_side_mirror_assembly,Right Side Mirror Assembly,Sağ yan güzgü,370,675,1350,estimate
160,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Mirrors,mirror_cover,Mirror Cover,Güzgü qapağı,80,150,300,estimate
161,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Mirrors,mirror_glass,Mirror Glass,Güzgü şüşəsi,60,110,220,estimate
162,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Roof,roof_panel,Roof Panel,Tavan paneli,725,1300,2625,estimate
163,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,front_left_wheel,Front Left Wheel (Rim),Ön sol disk,310,550,1125,estimate
164,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,front_right_wheel,Front Right Wheel (Rim),Ön sağ disk,310,550,1125,estimate
165,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,rear_left_wheel,Rear Left Wheel (Rim),Arxa sol disk,310,550,1125,estimate
166,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,rear_right_wheel,Rear Right Wheel (Rim),Arxa sağ disk,310,550,1125,estimate
167,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,front_left_tire,Front Left Tire,Ön sol şin,250,450,900,estimate
168,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,front_right_tire,Front Right Tire,Ön sağ şin,250,450,900,estimate
169,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,rear_left_tire,Rear Left Tire,Arxa sol şin,250,450,900,estimate
170,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Wheels,rear_right_tire,Rear Right Tire,Arxa sağ şin,250,450,900,estimate
171,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Exterior Trim,door_handle,Door Handle,Qapı tutacağı,95,170,340,estimate
172,Mercedes-Benz,E-Class,Sedan,W214,2025,9999,Exterior Trim,fuel_filler_door,Fuel Filler Door,Yanacaq çəninin qapağı,100,190,380,estimate
173,Mercedes-Benz,C-Class,Sedan,W204 (facelift),2012,2014,Front,front_bumper_cover,Front Bumper Cover,Ön bamper örtüyü,230,410,825,estimate
174,Mercedes-Benz,C-Class,Sedan,W204 (facelift),2012,2014,Front,front_grille,Front Grille,Ön radiator barmaqlığı,95,170,340,estimate
175,Mercedes-Benz,C-Class,Sedan,W204 (facelift),2012,2014,Front,hood,Hood (Bonnet),Kapot,250,450,900,estimate
176,Mercedes-Benz,C-Class,Sedan,W204 (facelift),2012,2014,Front,left_headlight,Left Headlight,Sol ön fara,330,600,1200,estimate
